snapshot_id,alias,alias_normalized,canonical_name,canonical_normalized,adjudication,used_in_snapshot
espn_2026_candidate_20260831T213651Z_6e169d4c54c0,chig okonkwo,chig okonkwo,chigoziem okonkwo,chigoziem okonkwo,approved alias,False
espn_2026_candidate_20260831T213651Z_6e169d4c54c0,dj chark,dj chark,d j chark,d j chark,approved alias,False
espn_2026_candidate_20260831T213651Z_6e169d4c54c0,dk metcalf,dk metcalf,d k metcalf,d k metcalf,approved alias,False
espn_2026_candidate_20260831T213651Z_6e169d4c54c0,gabe davis,gabe davis,gabriel davis,gabriel davis,approved alias,False
espn_2026_candidate_20260831T213651Z_6e169d4c54c0,hollywood brown,hollywood brown,marquise brown,marquise brown,approved alias,False
espn_2026_candidate_20260831T213651Z_6e169d4c54c0,tank dell,tank dell,nathaniel dell,nathaniel dell,approved alias,False
