internal_player_id,draft_command_board_rank,canonical_player_id,gsis_id,espn_id,display_name,normalized_name,position,current_team,consensus_source_team,team_conflict_preserved,identity_method,identity_confidence,consensus_join_key,consensus_join_status
47,47,00-0040784,00-0040784,4685702,Quinshon Judkins,quinshonjudkins,RB,CLE,CLE,false,espn-id,1.0,quinshonjudkins|RB,MATCHED_CANONICAL_NAME_POSITION
48,48,00-0031381,00-0031381,16800,Davante Adams,davanteadams,WR,LAR,LAR,false,espn-id,1.0,davanteadams|WR,MATCHED_CANONICAL_NAME_POSITION
49,49,00-0039361,00-0039361,4596448,Bucky Irving,buckyirving,RB,TB,TB,false,espn-id,1.0,buckyirving|RB,MATCHED_CANONICAL_NAME_POSITION
50,50,00-0040128,00-0040128,4431459,Tyler Warren,tylerwarren,TE,IND,IND,false,espn-id,1.0,tylerwarren|TE,MATCHED_CANONICAL_NAME_POSITION
51,51,00-0035659,00-0035659,3121422,Terry McLaurin,terrymclaurin,WR,WAS,WAS,false,espn-id,1.0,terrymclaurin|WR,MATCHED_CANONICAL_NAME_POSITION
52,52,00-0040735,00-0040735,4685278,Luther Burden III,lutherburden,WR,CHI,CHI,false,espn-id,1.0,lutherburden|WR,MATCHED_CANONICAL_NAME_POSITION
53,53,00-0035685,00-0035685,4035538,David Montgomery,davidmontgomery,RB,HOU,HOU,false,espn-id,1.0,davidmontgomery|RB,MATCHED_CANONICAL_NAME_POSITION
54,54,00-0034827,00-0034827,3915416,DJ Moore,djmoore,WR,BUF,BUF,false,espn-id,1.0,djmoore|WR,MATCHED_CANONICAL_NAME_POSITION
55,55,00-0037240,00-0037240,4426388,Jameson Williams,jamesonwilliams,WR,DET,DET,false,espn-id,1.0,jamesonwilliams|WR,MATCHED_CANONICAL_NAME_POSITION
56,56,00-0039851,00-0039851,4431452,Drake Maye,drakemaye,QB,NE,NE,false,espn-id,1.0,drakemaye|QB,MATCHED_CANONICAL_NAME_POSITION
57,57,00-0040719,00-0040719,4882093,Bhayshul Tuten,bhayshultuten,RB,JAC,JAC,false,espn-id,1.0,bhayshultuten|RB,MATCHED_CANONICAL_NAME_POSITION
58,58,00-0039919,00-0039919,4431299,Rome Odunze,romeodunze,WR,CHI,CHI,false,espn-id,1.0,romeodunze|WR,MATCHED_CANONICAL_NAME_POSITION
59,59,00-0036442,00-0036442,3915511,Joe Burrow,joeburrow,QB,CIN,CIN,false,espn-id,1.0,joeburrow|QB,MATCHED_CANONICAL_NAME_POSITION
60,60,00-0039910,00-0039910,4426348,Jayden Daniels,jaydendaniels,QB,WAS,WAS,false,espn-id,1.0,jaydendaniels|QB,MATCHED_CANONICAL_NAME_POSITION
61,61,00-0040734,00-0040734,4432710,TreVeyon Henderson,treveyonhenderson,RB,NE,NE,false,espn-id,1.0,treveyonhenderson|RB,MATCHED_CANONICAL_NAME_POSITION
62,62,00-0031408,00-0031408,16737,Mike Evans,mikeevans,WR,SF,SF,false,espn-id,1.0,mikeevans|WR,MATCHED_CANONICAL_NAME_POSITION
63,63,00-0041512,00-0041512,4685512,Jadarian Price,jadarianprice,RB,SEA,SEA,false,espn-id,1.0,jadarianprice|RB,MATCHED_CANONICAL_NAME_POSITION
64,64,00-0036389,00-0036389,4040715,Jalen Hurts,jalenhurts,QB,PHI,PHI,false,espn-id,1.0,jalenhurts|QB,MATCHED_CANONICAL_NAME_POSITION
65,65,00-0038124,00-0038124,4248528,Christian Watson,christianwatson,WR,GB,GB,false,espn-id,1.0,christianwatson|WR,MATCHED_CANONICAL_NAME_POSITION
66,66,00-0041438,00-0041438,4871023,Carnell Tate,carnelltate,WR,TEN,TEN,false,espn-id,1.0,carnelltate|WR,MATCHED_CANONICAL_NAME_POSITION
67,67,00-0039849,00-0039849,4432708,Marvin Harrison Jr.,marvinharrison,WR,ARI,ARI,false,espn-id,1.0,marvinharrison|WR,MATCHED_CANONICAL_NAME_POSITION
68,68,00-0039065,00-0039065,4430027,Sam LaPorta,samlaporta,TE,DET,DET,false,espn-id,1.0,samlaporta|TE,MATCHED_CANONICAL_NAME_POSITION
69,69,00-0038606,00-0038606,4432620,Parker Washington,parkerwashington,WR,JAC,JAC,false,espn-id,1.0,parkerwashington|WR,MATCHED_CANONICAL_NAME_POSITION
70,70,00-0036875,00-0036875,4569173,Rhamondre Stevenson,rhamondrestevenson,RB,NE,NE,false,espn-id,1.0,rhamondrestevenson|RB,MATCHED_CANONICAL_NAME_POSITION
71,71,00-0040663,00-0040663,5083076,Harold Fannin Jr.,haroldfannin,TE,CLE,CLE,false,espn-id,1.0,haroldfannin|TE,MATCHED_CANONICAL_NAME_POSITION
72,72,00-0037228,00-0037228,4569987,Jaylen Warren,jaylenwarren,RB,PIT,PIT,false,espn-id,1.0,jaylenwarren|RB,MATCHED_CANONICAL_NAME_POSITION
73,73,00-0035640,00-0035640,4047650,DK Metcalf,dkmetcalf,WR,PIT,PIT,false,espn-id,1.0,dkmetcalf|WR,MATCHED_CANONICAL_NAME_POSITION
74,74,00-0036970,00-0036970,4360248,Kyle Pitts Sr.,kylepitts,TE,ATL,ATL,false,espn-id,1.0,kylepitts|TE,MATCHED_CANONICAL_NAME_POSITION
75,75,00-0033077,00-0033077,2577417,Dak Prescott,dakprescott,QB,DAL,DAL,false,espn-id,1.0,dakprescott|QB,MATCHED_CANONICAL_NAME_POSITION
76,76,00-0038996,00-0038996,4572680,Tucker Kraft,tuckerkraft,TE,GB,GB,false,espn-id,1.0,tuckerkraft|TE,MATCHED_CANONICAL_NAME_POSITION
77,77,00-0035261,00-0035261,3916148,Tony Pollard,tonypollard,RB,TEN,TEN,false,espn-id,1.0,tonypollard|RB,MATCHED_CANONICAL_NAME_POSITION
78,78,00-0039893,00-0039893,4432773,Brian Thomas Jr.,brianthomas,WR,JAC,JAC,false,espn-id,1.0,brianthomas|WR,MATCHED_CANONICAL_NAME_POSITION
79,79,00-0039918,00-0039918,4431611,Caleb Williams,calebwilliams,QB,CHI,CHI,false,espn-id,1.0,calebwilliams|QB,MATCHED_CANONICAL_NAME_POSITION
80,80,00-0036355,00-0036355,4038941,Justin Herbert,justinherbert,QB,LAC,LAC,false,espn-id,1.0,justinherbert|QB,MATCHED_CANONICAL_NAME_POSITION
81,81,00-0034348,00-0034348,3128429,Courtland Sutton,courtlandsutton,WR,DEN,DEN,false,espn-id,1.0,courtlandsutton|WR,MATCHED_CANONICAL_NAME_POSITION
82,82,00-0036139,00-0036139,4038815,Rico Dowdle,ricodowdle,RB,PIT,PIT,false,espn-id,1.0,ricodowdle|RB,MATCHED_CANONICAL_NAME_POSITION
83,83,00-0038559,00-0038559,4360761,Michael Wilson,michaelwilson,WR,ARI,ARI,false,espn-id,1.0,michaelwilson|WR,MATCHED_CANONICAL_NAME_POSITION
84,84,00-0036555,00-0036555,4241416,Chuba Hubbard,chubahubbard,RB,CAR,CAR,false,espn-id,1.0,chubahubbard|RB,MATCHED_CANONICAL_NAME_POSITION
85,85,00-0033288,00-0033288,3040151,George Kittle,georgekittle,TE,SF,SF,false,espn-id,1.0,georgekittle|TE,MATCHED_CANONICAL_NAME_POSITION
86,86,00-0036252,00-0036252,4035687,Michael Pittman Jr.,michaelpittman,WR,PIT,PIT,false,espn-id,1.0,michaelpittman|WR,MATCHED_CANONICAL_NAME_POSITION
87,87,00-0036971,00-0036971,4360310,Trevor Lawrence,trevorlawrence,QB,JAC,JAC,false,espn-id,1.0,trevorlawrence|QB,MATCHED_CANONICAL_NAME_POSITION
88,88,00-0039344,00-0039344,4678008,Jonathon Brooks,jonathonbrooks,RB,CAR,CAR,false,espn-id,1.0,jonathonbrooks|RB,MATCHED_CANONICAL_NAME_POSITION
89,89,00-0033921,00-0033921,3116165,Chris Godwin Jr.,chrisgodwin,WR,TB,TB,false,espn-id,1.0,chrisgodwin|WR,MATCHED_CANONICAL_NAME_POSITION
90,90,00-0040691,00-0040691,4689114,Jaxson Dart,jaxsondart,QB,NYG,NYG,false,espn-id,1.0,jaxsondart|QB,MATCHED_CANONICAL_NAME_POSITION
91,91,00-0036158,00-0036158,4241985,J.K. Dobbins,jkdobbins,RB,DEN,DEN,false,espn-id,1.0,jkdobbins|RB,MATCHED_CANONICAL_NAME_POSITION
92,92,00-0031588,00-0031588,2976212,Stefon Diggs,stefondiggs,WR,WAS,WAS,false,espn-id,1.0,stefondiggs|WR,MATCHED_CANONICAL_NAME_POSITION
93,93,00-0037664,00-0037664,4360078,Alec Pierce,alecpierce,WR,IND,IND,false,espn-id,1.0,alecpierce|WR,MATCHED_CANONICAL_NAME_POSITION
94,94,00-0040730,00-0040730,4568490,RJ Harvey,rjharvey,RB,DEN,DEN,false,espn-id,1.0,rjharvey|RB,MATCHED_CANONICAL_NAME_POSITION
